ma_GeV	xitau_direct_Belle
0.04	1.7
0.05	1.01
0.06	0.72
0.07	0.88
0.08	0.76
0.09	0.55
0.1	0.45
0.11	0.583
0.12	0.578
0.13	0.509
0.14	0.348
0.15	0.711
0.16	0.321
0.17	0.57
0.18	0.554
0.19	0.439
0.2	0.626
0.21	0.388
0.225	0.384
0.25	0.356
0.275	0.37
0.3	0.438
0.325	0.457
0.35	0.761
0.375	0.479
0.4	0.667
0.425	0.616
0.45	0.458
0.475	0.489
0.5	0.437
0.525	0.414
0.55	0.724
0.575	0.507
0.6	0.544
0.625	0.602
0.65	0.648
0.675	0.455
0.7	0.469
0.725	0.435
0.75	0.635
0.775	0.453
0.8	0.574
0.825	0.837
0.85	0.398
0.875	0.414
0.9	0.618
0.925	0.426
0.95	0.617
0.975	0.521
1.0	0.559
1.025	0.712
1.05	0.701
1.075	0.676
1.1	0.535
1.125	0.545
1.15	0.556
1.175	0.782
1.2	0.519
1.225	0.719
1.25	0.706
1.275	0.515
1.3	0.693
1.325	0.463
1.35	0.592
1.375	0.568
1.4	0.479
1.425	0.52
1.45	0.739
1.475	0.558
1.5	0.706
1.525	0.703
1.55	0.535
1.575	0.7
1.6	0.703
1.625	0.664
1.65	0.774
1.675	0.801
1.7	0.527
1.725	0.831
1.75	0.559
1.775	0.691
1.8	0.693
1.825	0.655
1.85	0.653
1.875	0.794
1.9	0.732
1.925	0.694
1.95	0.743
1.975	0.781
2.0	0.945
2.025	0.88
2.05	0.687
2.075	0.919
2.1	0.951
2.125	0.727
2.15	0.999
2.175	0.72
2.2	0.839
2.225	1.066
2.25	0.811
2.275	0.756
2.3	0.64
2.325	0.649
2.35	1.031
2.375	0.748
2.4	0.882
2.425	1.359
2.45	1.176
2.475	1.116
2.5	1.123
2.525	0.999
2.55	1.195
2.575	0.823
2.6	1.079
2.625	0.781
2.65	0.881
2.675	0.956
2.7	1.193
2.725	1.015
2.75	1.236
2.775	0.988
2.8	1.064
2.825	0.862
2.85	1.135
2.875	1.1
2.9	1.184
2.925	1.431
2.95	1.013
2.975	0.761
3.0	0.771
3.025	0.974
3.15	1.188
3.175	1.665
3.2	1.029
3.225	1.379
3.25	1.085
3.275	1.243
3.3	1.048
3.325	1.361
3.35	1.046
3.375	1.746
3.4	0.977
3.425	1.246
3.45	1.143
3.475	1.587
3.5	1.135
3.525	1.864
3.55	1.721
3.575	1.722
3.6	2.639
3.625	2.086
3.75	5.269
3.775	6.102
3.8	5.865
3.825	5.318
3.85	5.75
3.875	9.669
3.9	8.425
3.925	8.622
3.95	8.402
3.975	7.565
4.0	8.118
4.025	7.998
4.05	14.927
4.075	7.569
4.1	9.519
4.125	10.632
4.15	12.514
4.175	12.417
4.2	11.59
4.225	13.437
4.25	13.543
4.275	19.019
4.3	16.278
4.325	11.955
4.35	9.535
4.375	11.331
4.4	11.007
4.425	13.993
4.45	25.762
4.475	21.731
4.5	22.429
4.525	25.087
4.55	21.12
4.575	20.534
4.6	27.088
4.625	19.819
4.65	20.8
4.675	18.49
4.7	17.563
4.725	23.404
4.75	42.301
4.775	24.723
4.8	28.6
4.825	27.983
4.85	39.726
4.875	22.646
4.9	21.31
4.925	24.588
4.95	25.932
4.975	20.077
5.0	27.606
5.025	23.546
5.05	34.306
5.075	33.016
5.1	24.843
5.125	29.626
5.15	32.545
5.175	36.845
5.2	27.467
5.225	36.395
5.25	35.617
5.275	31.272
5.3	31.893
5.325	39.616
5.35	43.45
5.375	40.154
5.4	39.666
5.425	51.244
5.45	51.024
5.475	60.188
5.5	47.357
5.525	64.626
5.55	58.609
5.575	58.883
5.6	50.616
5.625	55.189
5.65	54.39
5.675	54.199
5.7	58.907
5.725	53.507
5.75	63.534
5.775	65.355
5.8	54.929
5.825	59.244
5.85	49.796
5.875	47.942
5.9	59.27
5.925	78.126
5.95	81.23
5.975	83.288
6.0	70.199
6.025	63.427
6.05	72.299
6.075	78.384
6.1	96.974
6.125	93.202
6.15	86.189
6.175	116.971
6.2	118.695
6.225	132.536
6.25	117.961
6.275	130.47
6.3	117.301
6.325	131.867
6.35	168.35
6.375	166.111
6.4	236.761
6.425	278.321
6.45	280.516
6.475	227.421
6.5	243.692
