ma_GeV,cl
0.001,inf
0.051,inf
0.101,inf
0.151,inf
0.201,inf
0.251,1278.8183781886053
0.301,1292.8850774385555
0.351,1308.5130268306439
0.401,1325.6213914025684
0.451,1344.1578187887894
0.501,1364.0899080585345
0.551,1385.4007007325492
0.6010000000000001,1408.0857378901721
0.651,1432.151037449952
0.7010000000000001,1457.61167503274
0.751,1484.4907829561268
0.801,1512.8188504089267
0.8510000000000001,1542.6332479379473
0.901,1573.9779243422429
0.951,1606.9032402950158
1.001,1641.465913924971
1.051,1677.729061147237
1.101,1715.762318925029
1.151,1755.642043595566
1.201,1797.4515793870223
1.251,1841.2815945945076
1.301,1887.2304847873836
1.351,1935.4048440335887
1.401,1985.9200065564926
1.451,2038.9006625644172
1.501,2094.4815532743264
1.551,2152.808251439682
1.601,2214.038035030967
1.651,2278.3408631465554
1.701,2345.900464789646
1.751,2416.9155528742094
1.801,2491.601177761569
1.851,2570.190236826563
1.901,2652.935159062301
1.951,2740.1097866152477
2.001,2832.011478472654
2.051,2928.963465384306
2.101,3031.3174895940956
2.151,3139.4567682030224
2.201,3253.7993251318358
2.251,3374.801743871721
2.301,3502.9634017212334
2.351,3638.8312562639503
2.401,3783.005266761549
2.451,3936.1445473091126
2.501,4098.974365498825
2.551,4272.294120554569
2.601,4456.986459160029
2.651,4654.027716413863
2.701,4864.499904636873
2.751,5089.60451554552
2.801,5330.678453377021
2.851,5589.212480158821
2.901,5866.872632323371
2.951,6165.525163932859
3.001,6487.265690584915
3.051,6834.453355660517
3.101,7209.751024780308
3.151,7616.172745357325
3.201,8057.139999351483
3.251,8536.548646382982
3.301,9058.848924667653
3.351,9629.141480087868
3.401,10253.29317122007
3.451,10938.077407394963
3.501,11691.3450958717
3.551,12522.23401041645
3.601,13441.426696288507
3.651,14461.470105214246
3.701,15597.17430477773
3.751,16866.113253769257
3.801,18289.258391507035
3.851,19891.78654861248
3.901,21704.118807247924
3.951,23763.268292346977
4.001,26114.60578424062
4.051,28814.196754431723
4.101000000000001,31931.92975275823
4.151000000000001,35555.7554827397
4.2010000000000005,39797.507708410965
4.251,44801.013222978145
4.301,50753.57280457004
4.351000000000001,57902.50318281981
4.401000000000001,66579.44157163784
4.4510000000000005,77236.84369360164
4.501,90504.15489092092
4.551,107276.69722545025
4.601000000000001,128860.87382757447
4.651000000000001,157220.25242262482
4.7010000000000005,195410.93122067602
4.751,248392.09226896713
4.801000000000001,324630.9847798459
4.851000000000001,439532.2180542269
4.901000000000001,623508.4584164718
4.9510000000000005,943557.0266220493
5.001,1572144.8010089486
5.051000000000001,3074932.4136506096
5.101000000000001,8345153.583608685
5.151000000000001,71250393.28888714
