ma_GeV,cl
0.001,inf
0.051,inf
0.101,inf
0.151,inf
0.201,inf
0.251,99.6298397464155
0.301,100.01714966974238
0.351,100.4740918534568
0.401,101.00044827872395
0.451,101.59637340304099
0.501,102.26223211615088
0.551,102.99858180905153
0.6010000000000001,103.80617157404589
0.651,104.68594517597786
0.7010000000000001,105.63904529685804
0.751,106.66681865936305
0.801,107.77082191097055
0.8510000000000001,108.95282839182755
0.901,110.21483588944456
0.951,111.5590754991121
1.001,112.98802171038456
1.051,114.50440384178411
1.101,116.11121895636549
1.151,117.81174638222706
1.201,119.60956400459702
1.251,121.5085664769105
1.301,123.51298553923118
1.351,125.62741264515451
1.401,127.85682412484785
1.451,130.20660914086642
1.501,132.68260072673215
1.551,135.29111023654312
1.601,138.0389655777735
1.651,140.93355364976546
1.701,143.98286746820355
1.751,147.19555852228515
1.801,150.5809949877018
1.851,154.1493265073917
1.901,157.91155635203742
1.951,161.87962189394588
2.001,166.06648446131658
2.051,170.48622980198513
2.101,175.15418057100075
2.151,180.08702247422167
2.201,185.30294595527116
2.251,190.82180561306407
2.301,196.6652998904182
2.351,202.8571739917039
2.401,209.42344948203012
2.451,216.39268460808708
2.501,223.79627008102406
2.551,231.66876589881238
2.601,240.04828578931276
2.651,248.9769370629197
2.701,258.50132512149816
2.751,268.67313363647435
2.801,279.549793556354
2.851,291.1952567250817
2.901,303.68089310384136
2.951,317.0865345413329
3.001,331.5016929195597
3.051,347.02698656339675
3.101,363.7758163594498
3.151,381.8763424997992
3.201,401.47382469298066
3.251,422.7334037856663
3.301,445.84342196539785
3.351,471.0194033379446
3.401,498.5088484008856
3.451,528.597037082342
3.501,561.614088739533
3.551,597.9435981657841
3.601,638.0332602733876
3.651,682.4080211641091
3.701,731.6864617353328
3.751,786.601348902181
3.801,848.0256036565748
3.851,917.0053706518884
3.901,994.8024842454621
3.951,1082.9494910892345
4.001,1183.3216312964257
4.051,1298.2319870822334
4.101000000000001,1430.55867484804
4.151000000000001,1583.9169555780802
4.2010000000000005,1762.895236995442
4.251,1973.3834155909747
4.301,2223.0370279617496
4.351000000000001,2521.9450331141793
4.401000000000001,2883.6095119179113
4.4510000000000005,3326.4146748806706
4.501,3875.8842593620357
4.551,4568.248215457335
4.601000000000001,5456.260090584076
4.651000000000001,6619.040395859976
4.7010000000000005,8179.463411303672
4.751,10336.475078176214
4.801000000000001,13428.981205871007
4.851000000000001,18072.129118609097
4.901000000000001,25477.50797350286
4.9510000000000005,38307.75933216468
5.001,63400.41191623679
5.051000000000001,123125.75301508652
5.101000000000001,331611.727503789
5.151000000000001,2807605.930560285
