ma_GeV,cl
0.001,5.225663761876764
0.011,5.28520826190365
0.021,5.400694642661553
0.031,5.556288115401411
0.041,5.746738325057687
0.051,5.970401028563472
0.061,6.227527636997599
0.071,6.5196371769710755
0.081,6.849267619051322
0.091,7.219901132622811
0.101,7.6359893179285
0.111,8.103050691514591
0.121,8.627833004346366
0.131,9.218544392926987
0.141,9.88516604182206
0.151,10.639867817980928
0.161,11.49755913679579
0.171,12.47662206754317
0.181,13.599894952099334
0.191,14.896006494735003
0.201,16.401208661810344
0.211,18.161932284642553
0.221,2264.239103809435
0.231,2984.3722020969935
0.241,3682.156655007282
0.251,4450.509631982529
0.261,5348.600871297421
0.271,6439.78300534866
0.281,7807.798705457376
0.291,9574.69042512073
0.301,11929.89991229549
0.311,15184.763378520245
0.321,19884.34570273629
0.331,27059.941897679953
0.341,38871.578592730664
0.351,60531.17561136605
0.361,107614.50555745082
0.371,247609.83132530053
0.381,1195794.0495868449
