ma_GeV,cl
0.001,3.675534406669181
0.011,3.688643744579664
0.021,3.7193610324983624
0.031,3.765873714561737
0.041,3.8275650510654904
0.051,3.9043826245438633
0.061,3.9966727872563994
0.071,4.105121080827196
0.081,4.230736610203935
0.091,4.374861990687067
0.101,4.539202757683703
0.111,4.72587502702522
0.121,4.9374729115533516
0.131,5.177159328093464
0.141,5.448786046989379
0.151,5.757051584456448
0.161,6.107709263601944
0.171,6.5078430644318095
0.181,6.9662366299899485
0.191,7.4938723905227675
0.201,8.104615483398508
0.211,8.816164787810575
0.221,1079.782039887647
0.231,1398.2721400615662
0.241,1695.0708456162483
0.251,2013.0612429357009
0.261,2377.148048442728
0.271,2812.2578428405354
0.281,3350.20102982528
0.291,4036.516573559332
0.301,4941.174746886845
0.311,6178.3734093689
0.321,7946.946743868524
0.331,10621.281077697873
0.341,14981.954265793995
0.351,22904.07523674751
0.361,39966.63492689945
0.371,90233.26780630054
0.381,427452.2504161774
