ma_GeV,gtau
3.754,0.0547852
3.954,0.0574592
4.154,0.0667242
4.354,0.0731225
4.554,0.0793883
4.754,0.0888888
4.954,0.0942107
5.154,0.1032
5.354,0.116168
5.554,0.130177
5.754,0.14163
5.954,0.162567
6.154,0.179653
6.354,0.205584
6.554,0.226826
6.754,0.277215
6.954,0.314428
7.154,0.351834
7.354,0.39393
7.554,0.434134
7.754,0.505211
7.954,0.578034
8.154,0.668768
8.354,0.79842
8.554,0.926124
8.754,1.14682
8.954,1.43293
9.154,1.80791
9.354,2.39218
9.554,3.30805
9.754,4.88748
9.954,7.99979
10.154,15.5633
10.354,44.5064
