ma_GeV,gl,gtau
0.001128837891684686,1.8160977054403057e-09,1.3862991896481018e-05
0.001455988332319184,1.7196232298974803e-09,9.627723879803975e-06
0.0019712279215176923,1.526779393792555e-09,5.845974806852672e-06
0.0029404991123107493,1.5305985348818973e-09,3.482225446895055e-06
0.004333532971896583,1.4567673796634343e-09,1.9581987486898015e-06
0.006703718811765335,1.4348947363771177e-09,1.0395765365760523e-06
0.009412049672680653,1.49447117048151e-09,6.559276952479629e-07
0.0108853426726064,1.5092204321039853e-09,5.311154792876351e-07
0.014040042455483117,1.588672246798459e-09,3.760001842053518e-07
0.02119902023849603,1.758034914468221e-09,2.114390339233259e-07
0.027013381211329998,2.0582762428304585e-09,1.6162751124995457e-07
0.03319346818441564,2.451871051191401e-09,1.308712810619821e-07
0.04281332398719378,3.1434350960565183e-09,1.0003899147480197e-07
0.04951500669473116,3.772441532255867e-09,8.746390791139569e-08
0.059386018675902416,4.9080506711905066e-09,7.646861425916145e-08
0.0695192796177559,5.558077659875098e-09,6.558455505946162e-08
0.08439481965653974,5.201761006188959e-09,5.517919017320588e-08
0.09939588868933606,4.3068739999453305e-09,5.01276143134854e-08
0.1075422076112558,3.869100435670815e-09,4.8238193276147084e-08
0.12437607347260109,3.0651934872326824e-09,4.382072707745474e-08
0.1353876180022539,2.769901512788436e-09,4.2984652977852804e-08
0.15469407652461922,2.2808294364899495e-09,4.057412364783923e-08
0.176753662298767,1.894972368694601e-09,3.9795307785473546e-08
0.19474830399087453,1.5852802050445583e-09,3.978827247282372e-08
0.2094366253972667,1.184897630688973e-09,3.978202335871441e-08
0.22936456081891665,1.1372793777142743e-09,4.212950434931726e-08
0.24816289228368188,1.3333664950139886e-09,4.547957952846756e-08
0.2604890510826417,1.608030888023888e-09,5.200889579914115e-08
0.27013381211329884,1.9525383414882133e-09,6.062969656748999e-08
0.2852746346842457,2.517156106320261e-09,7.343817875718023e-08
0.2958370965927309,3.180801640504009e-09,8.895790060360488e-08
0.32008340465997515,4.930833992667354e-09,1.2560657959502297e-07
0.3299294268871202,6.1949315136014895e-09,1.5214998230127404e-07
0.3484217543538385,9.349100437280597e-09,2.1484593593780038e-07
0.3613222756796248,1.4348711969359638e-08,3.152739440752721e-07
0.3635183310337349,2.1219033583358665e-08,4.627392725156282e-07
0.3526699214174645,3.239983487155485e-08,7.335438661441355e-07
0.32793628590208634,4.611788543978819e-08,1.141003644820764e-06
0.29944411996093223,6.076938867459349e-08,1.6755592301066008e-06
0.27676123707542194,7.258558388111629e-08,2.1926888046380867e-06
0.25118864315095724,8.857458449414652e-08,2.9817122188877158e-06
0.22523277049873752,1.0544791946675608e-07,3.977479458320204e-06
0.2094366253972667,1.4355362522231751e-07,4.8197021615291155e-06
0.176753662298767,3.501624307613179e-07,7.353575142974545e-06
0.16237767391887176,4.740753463581128e-07,8.910208106736028e-06
0.1404004245548309,7.676842622555267e-07,1.2348974491939995e-05
0.11993539462092309,1.2634096656135698e-06,1.744584566608953e-05
0.10121925999468749,2.1260230802263254e-06,2.512307764041763e-05
0.08040131611167825,3.905411183363425e-06,4.1379274244485836e-05
0.0670371881176532,4.883875961316948e-06,6.073962825492939e-05
0.06047542754200923,4.902902778588968e-06,7.358936515039013e-05
