,ma_GeV,cl_inf,cl_sup
0,1.021349338436818e-05,13008942.397530947,1168944530.5285168
1,1.043154471125328e-05,12084569.01452919,1120583648.682029
2,1.0654251289712624e-05,11225877.501413124,1074223418.0594938
3,1.0881712506287626e-05,10428200.830745459,1029781073.3331833
4,1.1114029869356516e-05,9996768.367209325,987177273.0629443
5,1.1351307054434312e-05,9286426.40035451,946335958.1394002
6,1.1593649950439667e-05,8902229.044840708,907184215.9222975
7,1.1841166706949628e-05,8269659.948533867,869652150.1730256
8,1.2093967782463078e-05,7682038.574489193,833672756.137021
9,1.2352165993694857e-05,7364215.009143343,799181801.0190578
10,1.2615876565922026e-05,6840930.4262395,766117709.2928276
11,1.2885217184405017e-05,6354828.348607132,734421452.7511792
12,1.3160308046906782e-05,6091911.862333773,704036445.1304086
13,1.3441271917332974e-05,5659031.712625484,674908441.1222601
14,1.3728234180517442e-05,5256910.371083773,646985439.4759158
15,1.40213228981772e-05,5039415.237676698,620217590.1997944
16,1.432066886606232e-05,4681321.164297035,594557105.5685331
17,1.4626405672325488e-05,4348671.961215313,569958174.7759309
18,1.493866975713816e-05,4168751.204896819,546376882.1904734
19,1.525760047357916e-05,3872523.0797874928,523771128.92742944
20,1.5583340149823387e-05,3597343.924579475,502100557.69844764
21,1.5916034152658022e-05,3448506.210087293,481326480.76283103
22,1.6255830952355104e-05,3203455.988600084,461411810.8734214
23,1.6602882188928633e-05,3070913.676331535,442320995.03614587
24,1.695734273980669e-05,2852693.706795944,424019951.06903094
25,1.731937078894794e-05,2649979.813311003,406476006.73019946
26,1.768912789743393e-05,2461670.200780012,389657841.41501814
27,1.806677907556844e-05,2359816.5872048,373535430.2189688
28,1.845249285651597e-05,2192124.9195616045,358079990.3538875
29,1.884644137151274e-05,2036349.0097843166,343263929.7352595
30,1.9248800426682813e-05,1952091.5879323857,329060797.7597055
31,1.9659749581494832e-05,1813371.6311505141,315445238.0540033
32,2.0079472228893256e-05,1684508.8282491653,302392943.2171965
33,2.0508155677140627e-05,1614807.6866593275,289880611.4338976
34,2.094599123340685e-05,1500054.2158745078,277885904.8571932
35,2.139317428914352e-05,1393454.9412097489,266387409.74680102
36,2.184990440728028e-05,1335795.3423752475,255364598.22536948
37,2.2316385411283428e-05,1240867.8385630532,244797791.64404202
38,2.2792825476115385e-05,1189521.0640444022,234668125.43819845
39,2.3279437221136346e-05,1104987.4293760185,224957515.45698324
40,2.3776437804989043e-05,1026460.692739508,215648625.6789952
41,2.4284049022509708e-05,953514.0240706113,206724837.2567819
42,2.48024974037076e-05,914056.0241190707,198170218.85312402
43,2.5332014314857653e-05,849096.5955605905,189969498.19793412
44,2.5872836061751866e-05,813958.6294522277,182108034.82120883
45,2.6425203995154517e-05,756111.9407975163,174571793.9199904
46,2.698936461850908e-05,702375.87273373,167347321.29608876
47,2.756556969794431e-05,673308.3282003786,160421719.3454147
48,2.8154076374629475e-05,625456.1749900734,153782624.02335653
49,2.8755147279527463e-05,581004.4632813869,147418182.7787692
50,2.936905065059864e-05,556958.6165639184,141317033.38923472
51,2.999606045250632e-05,517374.28788284404,135468283.67935902
52,3.063645649887819e-05,495961.0852137403,129861492.0749053
53,3.1290524577177595e-05,460711.21816599136,124486648.9598426
54,3.1958556576241395e-05,427966.31260600104,119334158.80882484
55,3.264085061653977e-05,397548.3702773544,114394823.05549967
56,3.3337711183217896e-05,381093.1563252001,109659823.67144032
57,3.40494492619773e-05,354006.0459278501,105120707.42172442
58,3.477638247785852e-05,328843.86876916594,100769370.77577831
59,3.5518835236986624e-05,315231.45111931855,96598045.43999988
60,3.627713887134263e-05,292824.64868375775,92599284.48793012
61,3.705163178662644e-05,280702.57771919866,88765949.06731
62,3.784265961327549e-05,260749.4637715452,85091195.65399815
63,3.865057536070862e-05,242214.35538395098,81568463.83504762
64,3.947573957486213e-05,232186.4885438532,78191464.59653185
65,4.0318520499089626e-05,215681.1485614556,74954169.09605712
66,4.117929423849648e-05,200348.81892598653,71850797.89943688
