m [GeV/c^2], xsec [fb], xsec error [fb], xsec_UL_obs [fb], xsec_UL_exp [fb], xsec_UL_exp -1sigma [fb], xsec_UL_exp +1sigma [fb], xsec_UL_exp -2sigma [fb], xsec_UL_exp +2sigma [fb], g'_UL_obs, g'_UL_exp, g'_UL_exp -1sigma, g'_UL_exp +1sigma, g'_UL_exp -2sigma, g'_UL_exp +2sigma, xi_UL_obs, xi_UL_exp, xi_UL_exp -1sigma, xi_UL_exp +1sigma, xi_UL_exp -2sigma, xi_UL_exp +2sigma, {c_{\ell\ell}/\Lambda}_UL_obs [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +1sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp -2sigma [TeV^-1], {c_{\ell\ell}/\Lambda}_UL_exp +2sigma [TeV^-1]
3.6, -3.3761555, 0.94049515, 1.0400496, 2.3134906, 1.5663177, 3.5051146, 1.13657, 5.1581906, 0.03415595, 0.05094167, 0.04191594, 0.06270331, 0.03570569, 0.07606555, 66.07788702, 98.55144377, 81.09032654, 121.3054274, 69.07600555, 147.15594577, 199.54481126, 297.60983791, 244.88001406, 366.32328462, 208.59865698, 444.38777853
3.61493, -4.1236162, 0.95741445, 0.99329555, 2.2904539, 1.552352, 3.4640432, 1.1185211, 5.1037832, 0.03201205, 0.04861105, 0.04001928, 0.05978137, 0.03397006, 0.07256385, 63.45398792, 96.35637525, 79.32585823, 118.49808349, 67.33513998, 143.83540009, 195.99928994, 297.62953832, 245.0249763, 366.02175819, 207.98755216, 444.28470468
3.62978, -4.0662283, 0.90181701, 0.97453075, 2.2549692, 1.5305792, 3.4035501, 1.0931339, 5.0248716, 0.0305138, 0.04641611, 0.03824075, 0.0570249, 0.03231731, 0.06928847, 61.80226556, 94.0106227, 77.45233688, 115.49752985, 65.4550718, 140.33600417, 195.13062759, 296.82329027, 244.54318895, 364.66471387, 206.66377071, 443.08816708
3.64457, -3.4519359, 0.8906892, 1.0009817, 2.2235679, 1.5112561, 3.3579284, 1.0763244, 4.9539783, 0.02984599, 0.04448342, 0.03667262, 0.05466491, 0.03094885, 0.06639723, 61.62728675, 91.85127234, 75.72320933, 112.8744623, 63.90451918, 137.09986547, 198.77732745, 296.26406421, 244.24338585, 364.07385652, 206.12248575, 442.21231032
3.65928, -2.8124288, 0.9904839, 1.0726194, 2.1935021, 1.4925596, 3.3182549, 1.0660573, 4.8931961, 0.03017541, 0.04315184, 0.03559559, 0.05307441, 0.03008296, 0.06445055, 62.80496919, 89.81320828, 74.08614959, 110.46534552, 62.61255949, 134.14283902, 206.83000471, 295.77383015, 243.98131017, 363.78567218, 206.19635899, 441.7606502
3.67393, -1.6873059, 1.0154609, 1.2637038, 2.1569866, 1.470162, 3.2715774, 1.0552033, 4.8276161, 0.03219735, 0.04206503, 0.03472802, 0.05180552, 0.02942155, 0.06293088, 67.14865319, 87.72803145, 72.42645977, 108.04216057, 61.35962984, 131.24447324, 225.66505912, 294.82574055, 243.4020721, 363.0950048, 206.21001075, 441.07052647
3.6885, -0.88055729, 1.0070796, 1.5105403, 2.1477576, 1.4641767, 3.2579272, 1.0504374, 4.8076298, 0.03462704, 0.04128971, 0.03409149, 0.05085339, 0.02887582, 0.06177528, 72.35203111, 86.27345715, 71.23301308, 106.25643894, 60.33504726, 129.07736124, 248.01039369, 295.73066222, 244.17459119, 364.22890762, 206.81822741, 442.45512789
3.70301, -0.35752323, 1.0349894, 1.7719675, 2.110469, 1.4370963, 3.2018268, 1.0367771, 4.7283535, 0.03696654, 0.04034321, 0.03329078, 0.04969125, 0.02827637, 0.06038596, 77.26568223, 84.3234285, 69.58276835, 103.86224011, 59.10190311, 126.2158035, 270.02750157, 294.69285803, 243.17731428, 362.97694392, 206.54886845, 441.09800232
3.71745, -0.46078249, 1.0628484, 1.7322218, 2.0929397, 1.4182516, 3.1651236, 1.02852, 4.6807252, 0.03623621, 0.03983084, 0.03278821, 0.04898199, 0.02792206, 0.05956589, 75.35830975, 82.83383278, 68.18769973, 101.86494054, 58.0678531, 123.87565715, 268.3930283, 295.01754085, 242.85448126, 362.79794437, 206.81205554, 441.19039912
3.73182, -0.91127907, 1.0379213, 1.4945628, 2.0798144, 1.4035238, 3.1458955, 1.0219148, 4.6506889, 0.03337638, 0.03937263, 0.03234387, 0.04842329, 0.02759875, 0.05887634, 69.07841097, 81.48872918, 66.94145464, 100.22069283, 57.12057875, 121.85515296, 250.62768418, 295.65433245, 242.87445987, 363.61693616, 207.24272852, 442.11026807
3.74612, -1.1211416, 0.9764518, 1.3512184, 2.0491785, 1.3825375, 3.1020105, 1.0056577, 4.5841058, 0.03147487, 0.03876066, 0.03183755, 0.04768951, 0.02715353, 0.05797337, 64.84535018, 79.85570716, 65.59255144, 98.25116222, 55.94240799, 119.43823607, 239.57995976, 295.03776378, 242.3405964, 363.00227273, 206.68682978, 441.28079673
3.76036, -1.5782733, 0.94119348, 1.1879922, 2.03632, 1.377063, 3.0839491, 0.99793004, 4.5559581, 0.02935649, 0.03843442, 0.03160634, 0.04729889, 0.02690589, 0.05748933, 60.05033572, 78.61975001, 64.65253378, 96.7525112, 55.03749933, 117.59761281, 225.85273336, 295.69335827, 243.16186242, 363.89170602, 206.99917014, 442.2913206
3.77453, -2.1333742, 0.93255884, 1.0871536, 2.0179954, 1.3692883, 3.0583803, 0.98653018, 4.5160358, 0.02796534, 0.03810086, 0.031385, 0.04690514, 0.02663973, 0.05699718, 56.75494343, 77.32471481, 63.69505099, 95.19277444, 54.06465411, 115.67431303, 217.22434702, 295.95326273, 243.78697297, 364.34162419, 206.92751109, 442.73283695
3.78864, -2.4636677, 0.87984574, 1.0167623, 2.0092259, 1.3644376, 3.0456133, 0.98180024, 4.4961176, 0.02693299, 0.03786075, 0.03119979, 0.04661355, 0.02646588, 0.05663614, 54.24540627, 76.25487836, 62.83911907, 93.88379336, 53.30461558, 114.07016763, 211.2188884, 296.91861027, 244.68079036, 365.56147032, 207.55567014, 444.16247688
