ma_GeV,cl
0.001,5000.083667840784
0.051,5018.758937183421
0.101,5059.404409285435
0.151,5115.420559306842
0.201,5184.0040394323505
0.251,5263.617281665254
0.301,5353.359706878989
0.351,5452.709509980052
0.401,5561.395236210267
0.451,5679.324687245787
0.501,5806.542932940382
0.551,5943.206608988231
0.6010000000000001,6089.568042155158
0.651,6245.965700407371
0.7010000000000001,6412.818965197075
0.751,6590.626039784289
0.801,6779.964279474715
0.8510000000000001,6981.492517915789
0.901,7195.955149705691
0.951,7424.187857338991
1.001,7667.124964701776
1.051,7925.8084747187295
1.101,8201.398914804033
1.151,8495.188176587824
1.201,8808.614601642426
1.251,9143.28063557622
1.301,9500.973454135721
1.351,9883.689060288341
1.401,10293.660465945168
1.451,10733.39071190164
1.501,11205.69165221831
1.551,11713.729644211047
1.601,12261.079554914173
1.651,12851.788835651552
1.701,13490.453849882862
1.751,14182.31119472189
1.801,14933.347472539514
1.851,15750.431898930552
1.901,16641.477349864534
1.951,17615.63705476483
2.001,18683.5462742188
2.051,19857.621159389313
2.101,21152.430857659812
2.151,22585.164213033793
2.201,24176.21970440123
2.251,25949.957447390458
2.301,27935.666469490432
2.351,30168.821048218324
2.401,32692.729755550357
2.451,35560.724806489736
2.501,38839.10507907709
2.551,42611.1463278861
2.601,46982.64758549
2.651,52089.729225855925
2.701,58109.99810002123
2.751,65278.86100411567
2.801,73913.90856882714
2.851,84452.31024967552
2.901,97509.86525384495
2.951,113977.43973579843
3.001,135184.7386742324
3.051,163191.5297293991
3.101,201334.8226488194
3.151,255328.36282232788
3.201,335665.22091806465
3.251,463467.31475118495
3.301,686958.0618131092
3.351,1138621.7783845246
3.401,2311959.83645864
3.451,7667042.471244169
