ma_GeV,cl
0.001,2.8714061150233547
0.011,2.8770459075040957
0.021,2.892006251430483
0.031,2.916192866693817
0.041,2.949580364266559
0.051,2.992238883965483
0.061,3.0443464283911563
0.071,3.106196747399224
0.081,3.178206686038075
0.091,3.260924923529264
0.101,3.355043250184658
0.111,3.46141124248098
0.121,3.58105514764507
0.131,3.715201884395866
0.141,3.865309264864694
0.151,4.033103842668466
0.161,4.220628204407919
0.171,4.43030007815092
0.181,4.66498638030555
0.191,4.928096332871252
0.201,5.2236991604789385
0.211,5.556673771800949
0.221,663.7628772182308
0.231,835.7206746056542
0.241,981.4131883532486
0.251,1124.1034299905623
0.261,1273.464522018716
0.271,1436.0039637796754
0.281,1617.5793918158806
0.291,1824.4549747658714
0.301,2064.014290568227
0.311,2345.4668772093505
0.321,2680.7271719358964
0.331,3085.6370989634656
0.341,3581.768891087551
0.351,4199.188780560587
0.361,4980.837671530858
0.371,5989.714109687023
0.381,7321.09809171766
0.391,9124.25714123312
0.401,11642.941094594285
0.411,15295.527846524883
0.421,20845.403431897117
0.431,29796.8913036332
0.441,45426.407724030316
0.451,75910.16338735599
0.461,146099.5876071933
0.471,359693.40224538586
0.481,1523761.956122669
0.491,79813523.37705345
