ma_GeV,cl
0.001,inf
0.011,inf
0.021,inf
0.031,inf
0.041,inf
0.051,inf
0.061,inf
0.071,inf
0.081,inf
0.091,inf
0.101,inf
0.111,inf
0.121,inf
0.131,inf
0.141,inf
0.151,inf
0.161,inf
0.171,inf
0.181,inf
0.191,inf
0.201,inf
0.211,inf
0.221,9.381114051579033
0.231,10.0555568354035
0.241,10.82347152563271
0.251,11.701731154047241
0.261,12.711281654119063
0.271,13.878314825812017
0.281,15.235891337858673
0.291,16.826182782587708
0.301,18.70361003456
0.311,20.939306655709775
0.321,23.627580561843338
0.331,26.89545488043006
0.341,30.917068240673647
0.351,35.93595113304323
0.361,42.30045625424083
0.371,50.52191762411583
0.381,61.37363877947042
0.391,76.0666235907294
0.401,96.57727793352802
0.411,126.29566152827505
0.421,171.40285918693317
0.431,244.06996797649148
0.441,370.78487697746584
0.451,617.5947795640888
0.461,1185.086040072624
0.471,2909.5557823542135
0.481,12293.943375081835
0.491,642404.5348573768
