ma_GeV,cl
0.001,inf
0.011,inf
0.021,inf
0.031,inf
0.041,inf
0.051,inf
0.061,inf
0.071,inf
0.081,inf
0.091,inf
0.101,inf
0.111,inf
0.121,inf
0.131,inf
0.141,inf
0.151,inf
0.161,inf
0.171,inf
0.181,inf
0.191,inf
0.201,inf
0.211,inf
0.221,232.7581088478753
0.231,261.1794735150381
0.241,295.3643174281607
0.251,336.97265942840374
0.261,388.3146355780231
0.271,452.6821888692764
0.281,534.8991978038227
0.291,642.2709369504589
0.301,786.3042378125746
0.311,986.0117693767578
0.321,1274.732382188291
0.331,1715.5444819889062
0.341,2440.472955997117
0.351,3767.7660661635264
0.361,6647.441979708416
0.371,15190.871634953495
0.381,72912.68850207853
