ma_GeV,cl
0.001,inf
0.011,inf
0.021,inf
0.031,inf
0.041,inf
0.051,inf
0.061,inf
0.071,inf
0.081,inf
0.091,inf
0.101,inf
0.111,inf
0.121,inf
0.131,inf
0.141,inf
0.151,inf
0.161,inf
0.171,inf
0.181,inf
0.191,inf
0.201,inf
0.211,inf
0.221,110.99888927335753
0.231,122.37078911116207
0.241,135.97016374275586
0.251,152.41998259019923
0.261,172.5837093396975
0.271,197.68663554416113
0.281,229.5166551979016
0.291,270.769828224845
0.301,325.6747057236642
0.311,401.18826651323167
0.321,509.4575655331209
0.331,673.367304830023
0.341,940.6115094202403
0.351,1425.665313489623
0.361,2468.7739392057974
0.371,5535.814071320496
0.381,26063.595813071253
