ma_GeV,cl
0.165,1652886.8767859756
0.168,1505812.2125411336
0.171,1433341.9233163325
0.174,1458686.7290022697
0.177,1585327.9142979456
0.18,1771305.4180382926
0.183,1954397.9911507987
0.186,2073692.6527089477
0.189,2123036.7457912895
0.192,2111250.2937496183
0.195,2089772.1562258168
0.198,2168334.2352028755
0.201,2532898.023925039
0.204,3739290.2269419893
0.207,13038171.972414626
0.21,4112635.128957513
0.213,81233534.68752357
0.216,78226777.4625684
0.219,67463631.84365447
0.222,56206034.19661823
0.225,47344686.38865622
0.228,42501552.3218904
0.231,41430524.71691858
0.234,41936117.611614615
0.237,41080014.84201549
0.24,36983164.379397854
0.243,30881822.310705826
0.246,25562547.517523136
0.249,22921230.95810314
0.252,22355534.803928763
0.255,23142957.47555194
0.258,24404951.139854614
0.261,25543193.033425745
0.264,26431998.962812964
0.267,27217745.783872593
0.27,27401491.181423955
0.273,26514346.28268394
0.276,24616581.591619406
0.279,22334758.968733963
0.282,20467716.79573402
0.285,19525785.741531417
0.288,19251306.7467408
0.291,19196400.512976937
0.294,19073960.26057431
0.297,18853589.71032951
0.3,18581278.026798442
0.303,18267539.22371369
0.306,18231694.755840164
0.309,18552450.24859492
0.312,19070118.69361385
0.315,19449326.824325036
0.318,19925445.293704797
0.321,20285707.550409757
0.324,20341877.277547512
0.327,19787269.93283375
0.33,18297138.41075514
0.333,16385906.576681454
0.336,14704131.609439308
0.339,13753207.39717881
0.342,13553309.634154255
0.345,13762338.108776258
0.348,14045908.396768125
0.351,10015991.86483948
0.354,9865088.574303564
0.357,9811514.665592534
0.36,9677499.213883692
0.363,9683677.925900009
0.366,9587097.548990486
0.369,9559893.510810977
0.372,9390130.507390596
0.375,9479153.851832911
0.378,9651413.042702008
0.381,10297730.258911658
0.384,11024563.74074659
0.387,11476629.49889103
0.39,11448683.375276443
0.393,10949208.049939174
0.396,10146515.438774278
0.399,9362872.511184314
0.402,8840806.593917515
0.405,8855814.98969784
0.408,9349438.983111184
0.411,10074816.675851317
0.414,10513485.084972398
0.417,10348026.970339693
0.42,9698753.789651275
0.423,8967134.8272166
0.426,8444185.54044734
0.429,8305554.097784225
0.432,8400822.192747416
0.435,8532727.916701002
0.438,8491687.943935743
0.441,8292950.091008815
0.444,7963305.744098208
0.447,7636414.258760631
0.45,7359489.7472863225
0.453,7235348.932694856
0.456,7329971.246443822
0.459,7673826.535178034
0.6,3622593.4173420165
0.603,3411755.685846549
0.606,3213543.3807299626
0.609,3034090.3731800593
0.612,2846734.8400030094
0.615,2667197.916525382
0.618,2541714.2079701764
0.621,2573915.6328137834
0.624,2593100.537910042
0.627,2704043.2981726453
0.63,2855642.7650324046
0.633,2938443.966278771
0.636,2850551.9349728567
0.639,2596676.2988895313
0.642,2279051.0243380484
0.645,2042752.286280624
0.648,1915924.585038265
0.651,1894262.1368910626
0.654,1959574.3698399363
0.657,2052703.426891059
