ma_GeV,cl
0.165,294962.87442820636
0.168,265825.8730639863
0.171,249446.9403442852
0.174,249245.34271758518
0.177,264671.345299447
0.18,287224.577435603
0.183,305528.4847273134
0.186,309556.1359923432
0.189,298798.1116509034
0.192,275226.034642506
0.195,245822.34159061647
0.198,220699.4847516443
0.201,206609.01387169713
0.204,204596.5710622765
0.207,210297.28771215724
0.21,216469.59064322212
0.213,215913.91710477704
0.216,204523.8558216863
0.219,183788.42220218337
0.222,160052.0194588931
0.225,140528.74733292332
0.228,131044.82459397381
0.231,132277.96479090088
0.234,138268.88735107152
0.237,139548.7812400635
0.24,129179.74687826251
0.243,110724.43838712755
0.246,93939.44958796825
0.249,86222.09015074348
0.252,85980.95163847075
0.255,90913.39144103654
0.258,97831.92642573926
0.261,104402.97537040172
0.264,110072.25850930739
0.267,115402.29489591064
0.27,118217.1218509806
0.273,116327.52292313779
0.276,109772.98482255948
0.279,101181.9452082175
0.282,94156.03414889079
0.285,91171.8451055028
0.288,91204.11573554856
0.291,92239.17449417556
0.294,92923.81614859635
0.297,93095.52791583922
0.3,92966.19548214601
0.303,92580.10923403832
0.306,93569.22196347556
0.309,96396.64627420559
0.312,100290.71256855546
0.315,103503.67943362713
0.318,107276.64685557464
0.321,110468.83367795985
0.324,112022.11102798919
0.327,110173.26762804265
0.33,102983.88274114713
0.333,93212.4147214754
0.336,84524.85914796797
0.339,79876.38229259416
0.342,79516.88507440726
0.345,81552.7663874977
0.348,84055.10342995099
0.351,60522.04554075227
0.354,60181.88216765006
0.357,60420.9824747954
0.36,60151.37477698032
0.363,60743.38731392033
0.366,60683.32614721548
0.369,61053.110761430864
0.372,60499.16721577876
0.375,61605.9087170884
0.378,63266.2572183956
0.381,68077.87053258433
0.384,73496.24070859118
0.387,77146.21358200841
0.39,77590.9001739378
0.393,74808.77054020792
0.396,69881.45471968185
0.399,64996.65459729266
0.402,61854.78687421748
0.405,62441.46549664761
0.408,66429.00271083608
0.411,72127.74110039847
0.414,75835.24314666902
0.417,75198.32037668847
0.42,71000.35301504642
0.423,66124.2528829972
0.426,62718.633195931856
0.429,62131.1071564558
0.432,63289.91684406843
0.435,64735.73881905859
0.438,64873.23614768954
0.441,63792.31410102296
0.444,61675.61418119757
0.447,59544.81309626912
0.45,57771.10040088393
0.453,57174.915320031985
0.456,58305.10409036536
0.459,61439.85240893971
0.6,37549.56223519759
0.603,35530.489247923855
0.606,33622.80638873134
0.609,31892.864222529883
0.612,30061.875567069077
0.615,28295.49557128088
0.618,27087.62165635469
0.621,27555.594384823176
0.624,27886.59540435696
0.627,29210.56234435988
0.63,30986.311510370426
0.633,32026.74931939738
0.636,31206.40038818113
0.639,28552.342773550885
0.642,25169.654705450797
0.645,22658.354009831815
0.648,21343.752898533705
0.651,21193.493893796025
0.654,22018.352878629303
0.657,23163.30228005902
0.66,24342.681047520495
0.663,24798.632465168972
0.666,24432.960058321074
0.669,23058.38209239564
0.672,21171.118928135136
0.675,19156.520413040027
0.678,17623.052356332064
0.681,16787.77075301851
0.684,16626.63331628281
0.687,16968.18099757791
0.69,17754.413598350235
0.693,18518.892423632977
0.696,19315.603826172697
0.699,19771.88227531294
0.702,20336.222980980525
0.705,21121.02347439417
0.708,22435.228623370323
0.711,24156.337059917354
0.714,26100.861019370117
0.717,27757.16383984818
0.72,28919.241225610796
0.723,29589.147536908844
0.726,29746.87102487321
0.729,29515.58365484921
0.732,29354.23405984398
0.735,29010.352204763105
0.738,28207.403867448334
0.741,27028.26007269356
0.744,26138.157971248023
0.747,25440.006604721955
0.75,24181.29940093966
0.753,24171.367821313557
0.756,24183.53932831141
0.759,23576.007536997895
0.762,22403.410502605893
0.765,21136.736674977616
0.768,20483.748849245123
0.771,20899.9028755662
0.774,21861.600463268584
0.777,23126.44741834901
0.78,23749.969798160535
0.783,23502.943488166133
0.786,22285.96701951541
0.789,21010.762573892305
0.792,20031.13278853494
0.795,19806.9648860339
0.798,19716.581553321983
0.801,19484.673625657408
0.804,18744.22014860465
0.807,17374.54085993505
0.81,16017.27733082826
0.813,14651.222537210257
0.816,14095.710992688373
0.819,13464.645175225161
0.822,13669.98959228882
0.825,13604.42042713812
0.828,14501.558602353181
0.831,15782.24407583732
0.834,17839.364317690557
0.837,20176.34714044472
0.84,22231.47948147416
0.843,23412.149275570304
0.846,23514.461453300628
0.849,22684.134507726023
0.852,21098.30967579133
0.855,19441.331051544857
0.858,18048.597552473082
0.861,17553.885857426703
0.864,17659.047242219174
0.867,18606.82567823568
0.87,19957.63543061162
0.873,21627.714951891197
0.876,23200.53824261862
0.879,24538.736048434545
0.882,25516.394237848253
0.885,26175.593024139722
0.888,26509.130506908212
0.891,26156.390330298607
0.894,25172.42244829603
0.897,23669.385351448942
0.9,21793.765170493778
1.011,16413.095988698566
1.014,16038.55409450146
1.017,15465.573475480662
1.02,14821.870760128118
1.023,14110.22696126889
1.026,13283.741016612064
1.029,12597.734683843908
1.032,12210.481938480005
1.035,12052.422930204179
1.038,12252.374982740004
1.041,12347.764389056445
1.044,12539.968674808937
1.047,12380.943354493547
1.05,12405.332214535709
1.053,12396.405317692432
1.056,12780.649340406493
1.059,13158.205468578493
1.062,13664.59027619994
1.065,14006.829693126938
1.068,14081.565894234993
1.071,13851.208391574217
1.074,13407.1457391329
1.077,13057.334860209914
1.08,12656.402383686835
1.083,12433.052279190124
1.086,12138.3257519235
1.089,12186.802638751838
1.092,12197.274577447954
1.095,12461.964712503343
1.098,12846.740485254972
1.101,13467.023072801712
1.104,14177.738756865723
1.107,14856.622846325103
1.11,15386.444675558985
1.113,15626.587477118504
1.116,15509.804545728532
1.119,14912.34794771097
1.122,14041.778331961646
1.125,13049.84607417289
1.128,12223.925547680641
1.131,11523.535076406844
1.134,11180.569659982351
1.137,10987.440223811262
1.14,10958.193844235386
1.143,10992.851556838641
1.146,11051.256642830787
1.149,11186.36719048403
1.152,11191.242369161606
1.155,11330.319715099495
1.158,11475.706266596719
1.161,11982.158739510964
1.164,12603.053707590634
1.167,13433.127704565435
1.17,14241.721555631633
1.173,15017.20672860797
1.176,15671.442439123035
1.179,16176.784885435885
1.182,16503.126523394163
1.185,16636.63155829647
1.188,16559.54585068956
1.191,16227.196510578151
1.194,15685.139615944101
1.197,14991.33862852948
1.2,16797.440609933827
1.204,15944.98931330546
1.208,15396.884421816289
1.212,14590.539912515851
1.216,13336.92742979629
1.22,12261.777130289289
1.224,11491.23268305262
1.228,11418.881585710322
1.232,11483.310901453651
1.236,11496.941427500076
1.24,11413.06804264836
1.244,11216.483846532066
1.248,11004.782414810903
1.252,10597.21072230615
1.256,10270.837994234034
1.26,10239.800042113093
1.264,10160.693825339971
