ma_GeV,gtau
3.754,0.0252983
3.954,0.0252951
4.154,0.0282827
4.354,0.029995
4.554,0.0316158
4.754,0.0344448
4.954,0.0355831
5.154,0.0380429
5.354,0.0418415
5.554,0.0458541
5.754,0.0488275
5.954,0.0548912
6.154,0.0594464
6.354,0.0667015
6.554,0.0721946
6.754,0.0865933
6.954,0.096431
7.154,0.10598
7.354,0.116585
7.554,0.126278
7.754,0.144471
7.954,0.162552
8.154,0.184994
8.354,0.217303
8.554,0.248061
8.754,0.302369
8.954,0.371976
9.154,0.462171
9.354,0.602338
9.554,0.82058
9.754,1.19458
9.954,1.92694
10.154,3.69509
10.354,10.4171
