m_a	UL_BF	UL_gagg
0.165	1.88149e-07	0.000493034
0.168	1.64196e-07	0.000460655
0.171	1.55157e-07	0.000447867
0.174	1.66027e-07	0.000463365
0.177	2.00414e-07	0.000509179
0.18	2.52377e-07	0.000571483
0.183	3.0501e-07	0.000628363
0.186	3.34062e-07	0.000657722
0.189	3.31732e-07	0.00065554
0.192	2.99678e-07	0.000623176
0.195	2.54294e-07	0.000574157
0.198	2.17822e-07	0.000531488
0.201	2.02676e-07	0.000512773
0.204	2.10821e-07	0.000523076
0.207	2.3606e-07	0.000553609
0.21	2.64863e-07	0.000586526
0.213	2.78806e-07	0.000601887
0.216	2.64484e-07	0.000586341
0.219	2.2562e-07	0.000541663
0.222	1.8062e-07	0.000484746
0.225	1.46879e-07	0.000437222
0.228	1.34631e-07	0.000418684
0.231	1.44494e-07	0.000433844
0.234	1.66188e-07	0.000465376
0.237	1.78071e-07	0.000481833
0.24	1.60412e-07	0.000457422
0.243	1.23815e-07	0.00040196
0.246	9.35725e-08	0.00034952
0.249	8.27179e-08	0.000328699
0.252	8.6262e-08	0.000335747
0.255	1.01083e-07	0.000363534
0.258	1.22616e-07	0.000400484
0.261	1.46198e-07	0.000437409
0.264	1.70046e-07	0.000471855
0.267	1.95483e-07	0.000506045
0.27	2.14432e-07	0.000530139
0.273	2.16934e-07	0.000533359
0.276	2.01732e-07	0.000514465
0.279	1.78897e-07	0.000484601
0.282	1.61623e-07	0.000460734
0.285	1.58031e-07	0.000455707
0.288	1.64842e-07	0.00046555
0.291	1.7567e-07	0.000480729
0.294	1.85679e-07	0.000494371
0.297	1.94011e-07	0.000505482
0.3	2.01324e-07	0.000515068
0.303	2.07676e-07	0.000523279
0.306	2.20571e-07	0.000539436
0.309	2.43315e-07	0.000566731
0.312	2.73631e-07	0.000601177
0.315	3.02685e-07	0.000632476
0.318	3.37571e-07	0.000668131
0.321	3.71495e-07	0.000701112
0.324	3.9632e-07	0.000724381
0.327	3.97563e-07	0.00072574
0.33	3.6013e-07	0.000690944
0.333	3.05766e-07	0.000636861
0.336	2.60489e-07	0.000588007
0.339	2.40933e-07	0.000565685
0.342	2.47217e-07	0.0005732
0.345	2.69154e-07	0.000598287
0.348	2.95858e-07	0.000627471
0.351	1.58665e-07	0.000459661
0.354	1.6224e-07	0.000464966
0.357	1.69063e-07	0.000474802
0.36	1.73175e-07	0.000480705
0.363	1.82469e-07	0.000493606
0.366	1.88108e-07	0.000501349
0.369	1.96626e-07	0.000512755
0.372	1.99328e-07	0.000516447
0.375	2.13325e-07	0.000534462
0.378	2.32143e-07	0.000557737
0.381	2.77284e-07	0.000609778
0.384	3.33301e-07	0.000668784
0.387	3.78636e-07	0.000713079
0.39	3.94814e-07	0.000728424
0.393	3.78225e-07	0.000713223
0.396	3.40048e-07	0.000676525
0.399	3.03018e-07	0.00063887
0.402	2.8262e-07	0.000617228
0.405	2.96533e-07	0.000632482
0.408	3.45475e-07	0.000682949
0.411	4.19164e-07	0.000752561
0.414	4.76766e-07	0.000802922
0.417	4.82247e-07	0.000807845
0.42	4.42153e-07	0.000773844
0.423	3.9435e-07	0.00073111
0.426	3.6473e-07	0.000703403
0.429	3.67898e-07	0.00070674
0.432	3.92303e-07	0.000730106
0.435	4.21696e-07	0.000757277
0.438	4.35027e-07	0.000769475
0.441	4.32028e-07	0.000767141
0.444	4.14677e-07	0.000751897
0.447	3.96824e-07	0.000735847
0.45	3.83422e-07	0.000723626
0.453	3.8542e-07	0.000725823
0.456	4.11269e-07	0.000750094
0.459	4.68517e-07	0.000800951
0.6	4.93237e-07	0.000841829
0.603	4.50131e-07	0.000804674
0.606	4.10817e-07	0.000769186
0.609	3.76676e-07	0.000736968
0.612	3.41012e-07	0.00070163
0.615	3.07811e-07	0.000667
0.618	2.87383e-07	0.000644875
0.621	3.02945e-07	0.000662507
0.624	3.16023e-07	0.000677068
0.627	3.53142e-07	0.000716165
0.63	4.04678e-07	0.000767114
0.633	4.40203e-07	0.000800572
0.636	4.25531e-07	0.000787607
0.639	3.62664e-07	0.000727557
0.642	2.86887e-07	0.000647505
0.645	2.36651e-07	0.000588459
0.648	2.13722e-07	0.00055958
0.651	2.14452e-07	0.000560892
0.654	2.35545e-07	0.000588205
0.657	2.65243e-07	0.000624588
0.66	2.98044e-07	0.000662511
0.663	3.14675e-07	0.000681187
0.666	3.1073e-07	0.000677347
0.669	2.81499e-07	0.000645124
0.672	2.41356e-07	0.000597751
0.675	2.00964e-07	0.000545806
0.678	1.72952e-07	0.000506677
0.681	1.59584e-07	0.000487029
0.684	1.59155e-07	0.0004867
0.687	1.6852e-07	0.000501154
0.69	1.87555e-07	0.00052906
0.693	2.07417e-07	0.00055675
0.696	2.29349e-07	0.000585847
