ma_GeV,gl,gtau
0.001128837891684686,3.388956188170385e-09,2.0794488125824958e-05
0.001455988332319184,2.404603226900451e-09,1.444158609259259e-05
0.0019712279215176923,1.866573431285991e-09,8.768962475491511e-06
0.0029404991123107493,1.7328676811048414e-09,5.223338528634242e-06
0.004333532971896583,1.5920971091312898e-09,2.937298559190162e-06
0.006703718811765335,1.5327709416120411e-09,1.5593653597207461e-06
0.009412049672680653,1.5749444925701563e-09,9.838922330127914e-07
0.0108853426726064,1.581510823495903e-09,7.966739663907974e-07
0.014040042455483117,1.647108346472206e-09,5.640011566386545e-07
0.02119902023849603,1.7817113788133079e-09,3.171596795127257e-07
0.027013381211329998,2.045362196026376e-09,2.42442667793365e-07
0.03319346818441564,2.381475813756534e-09,1.9630863435460064e-07
0.04281332398719378,2.94005768829611e-09,1.500606653701834e-07
0.04951500669473116,3.4482703356073736e-09,1.3119840915088916e-07
0.059386018675902416,4.455484323540554e-09,1.1470612506257683e-07
0.0695192796177559,5.4335302874605615e-09,9.838059819944167e-08
0.08439481965653974,6.715337739705516e-09,8.277345482879887e-08
0.09939588868933606,7.100923999240283e-09,7.519730638176273e-08
0.1075422076112558,6.801123075766499e-09,7.236391985021433e-08
0.12437607347260109,5.618238105001572e-09,6.573914798472557e-08
0.1353876180022539,5.089948191233395e-09,6.448634579961494e-08
0.15469407652461922,4.194432520500183e-09,6.087273087127777e-08
0.176753662298767,3.553045978620193e-09,5.97077503880755e-08
0.19474830399087453,3.1317436110504664e-09,5.970036433074444e-08
0.2094366253972667,2.7420658444158643e-09,5.96938038337579e-08
0.22936456081891665,2.3383575473890973e-09,6.322064636381035e-08
0.24816289228368188,2.352498398805077e-09,6.825273277221023e-08
0.2604890510826417,2.6495262622803673e-09,7.805539369652222e-08
0.27013381211329884,3.0823911378440628e-09,9.099727480086775e-08
0.2852746346842457,3.764985634121971e-09,1.1022852625367335e-07
0.2958370965927309,4.614282602048446e-09,1.3352970510953904e-07
0.32008340465997515,6.769416252418547e-09,1.8856345708135988e-07
0.3299294268871202,8.353680646043064e-09,2.284226990533455e-07
0.3484217543538385,1.2250840724333383e-08,3.2258046546276794e-07
0.3613222756796248,1.8487334884315287e-08,4.7340281029268193e-07
0.3635183310337349,2.7266585244291825e-08,6.948397378293927e-07
0.3526699214174645,4.2210012014175417e-08,1.1014058086278584e-06
0.32793628590208634,6.24042985379963e-08,1.7129702998083588e-06
0.29944411996093223,8.733152560219684e-08,2.5151308827446405e-06
0.27676123707542194,1.117222187075923e-07,3.291035260755716e-06
0.25118864315095724,1.5340619487803875e-07,4.474809513930523e-06
0.22523277049873752,2.271151871925971e-07,5.9686215055426435e-06
0.2094366253972667,3.32208861229058e-07,7.232069439334706e-06
0.176753662298767,6.565495291825449e-07,1.1033095445914672e-05
0.16237767391887176,8.74851357473111e-07,1.3368106007051397e-05
0.1404004245548309,1.4103586127382475e-06,1.8526355708971367e-05
0.11993539462092309,2.305857325166943e-06,2.617175116508841e-05
0.10121925999468749,3.5695746886780517e-06,3.768767513093891e-05
0.08040131611167825,4.635560296740191e-06,6.207208945295093e-05
0.0670371881176532,4.640361031619715e-06,9.111268518161768e-05
0.06047542754200923,4.464228151583377e-06,0.00011038724494376832
