ma_GeV,gtau
3.754,0.200614
3.954,0.19862
4.154,0.221399
4.354,0.234994
4.554,0.248531
4.754,0.272183
4.954,0.283028
5.154,0.304898
5.354,0.338169
5.554,0.37396
5.754,0.402024
5.954,0.456465
6.154,0.49944
6.354,0.566337
6.554,0.619602
6.754,0.751339
6.954,0.846005
7.154,0.940225
7.354,1.04603
7.554,1.14589
7.754,1.32599
7.954,1.50905
8.154,1.73714
8.354,2.06402
8.554,2.38329
8.754,2.93849
8.954,3.65651
9.154,4.59526
9.354,6.05751
9.554,8.34657
9.754,12.2892
9.954,20.0484
10.154,38.8798
10.354,110.845
